Txhash,From,Amount
0x4325735a602086d03429fa738845a68086b50434a9715b323c7e661ec757f7df,0x419869001780c72b57eab83b8c944551d9c53740,758.37
0xcd1dd50c3e96a7414bcc9a7482586f4be65c456c565274cea3cf26b98152cf7d,0x419869001780c72b57eab83b8c944551d9c53740,0.007478918
0xb5582235d53752a9033d933afc37438cf596674532a48952fa01dd546562a796,0x431dec52a66166a70916894aeb8066c09bc70aa1,500
0x63c5a7fb686f8fc4af63275605eaca24dd56c6008c8f8dba1e596bb304a3da04,0xf5e1b53d5012640b0676cb56d364576bd847237a,1672
0x1e894e7562198034679583ece8b20f6f55288bf11da5e9cb2584980535bebf32,0x243a4f33b4a9b3a45aded0c291cd64716ca80a8e,10403.035597656
0x7ab55103859a6acfa034888b036b42d52a39adb3c50cbc49f2307c6867890318,0xff68fc091392dc0638d8d08896167f51b298c136,247.2340792557
0xead9bd207e86c64645aa2d00dd70c24f262bee2b503be21178eb0d03844c7d8c,0xd10e2c5cb1a00a843e16b828d3f292b520fbfbec,600
0x2d8c46b7781ca3eea8f4ba3cc178d455f5c3d49dadef3f5c7f5ab00d9e59796b,0x431dec52a66166a70916894aeb8066c09bc70aa1,300
0x0c4710bec79a94d289b708466101601692a7360a42044f610ee9f1d164d33954,0xb877df08df30c41e41ecd6b21368678aa78b80ba,50
0x7f4f7724c03bdbe9e3ecfb0347827a07740aab7576f1d7e5f05cb246d878ce02,0x8114e78965b7f7e52e35b2cfbe33973a4ef320cb,3887.9957155952
0x58d07abc7783728a14b2ff160d8cec73116ab99cd352ed7e9552d9174b16e485,0xeae1d831547e91386c67caf10075e35abb000b9e,275.67
0xa636a20e158f3c0a7d44e32e612a1671bf4d58101e6234b5d209daa7123ed48e,0xe1e74a529731e7a30d3d59b4ef4fa2d39150e384,211.63
0xdcf9b3c183bcffa291f084e7d9769dc0aadb7ed56ef2198f873995257394d9e7,0x150b43888b42d00e72f6fc1278286ca6293c0325,166
0x6f7f613a9ae5e6eb33976d537c7125ff11f53b58be18e6fdb59527fe0074108c,0x84b674ffdd0f721b6bad22ae5b5e21afe7a6586f,1282.2692
0xe79961a256855df735253a95acda6f2407718662831f01989de490281a292257,0xc92f8bacf3834ebb823ce2bb8a45eea5de94951a,756
0x23d1d368f34188616f0f7d42d2024229accaaa90933899d82673615c29cbe3fc,0x8d79570fcd132e8d5712e38789d788b944255a2a,15000
0x9a21c953a87cd60f3d0d671e370d2ae705d0bf0efc14a27f6f70c733948323e4,0xfcd1d2894ca5a6afa07c9579f5fd7ac4ba7a5481,3868.8446179573
0x0d38e3b1dd85887391b8a4a4e4514199bb674a095d6d4ba8a7be75c93b9ac8ee,0xff68fc091392dc0638d8d08896167f51b298c136,695.4185
0x4351e8d016c01de96bc0611480ee982695e451423c8c12121bc24d447da7c3d9,0xd828ec3e221a598f9b7aabdd0973f4e052469c2f,2100
0x8777b2d26929cb0f35430da1d178c061c9d16b72031c07ceefd64b198602d287,0xcb927731f27898b30ad85964f9c5b784772cb924,3140
0x82669b1b702a3e61af7ac352549f2c25e95f5057ecd1dbdab6a4aef3cc91c4cf,0x3ae3081d12b398a82a4aba5c642dd757ee660773,482
0x162810929ece28f24ceff24c74da2cc5784a3f6901d8a8e3cd60e645c2fbed01,0x65877be34c0c3c3a317d97028fd91bd261410026,3003.7527980015
0x1428a2552df3a66bdac90736b71ad1d31800fc0a3716e8e2dd8aea54472bbfee,0x493a316f45cd24e51ae772c208e652204a61740b,872.4009120662
0xf06c7a304ce0cd278c64477b995469785f72baa838da66b5211d6b763d2f1e8b,0xd0c48370efccc2e4139e67b4006e0acdf0cb579c,3500
0x1adcfc2e7176f8cd8999aace7cafe5997c36facfb21909bdd59f8e21acac2c94,0xe25929420392187d3eeaa8aa3d9a75dc2771c4a8,4800
0x956d25e73e594e8dabd667ae0efae036f3c253b7f178f0ca999b3b646a9a1e9d,0xd47a6600889f6df6b1bc59cf4eb88aeec1dc259d,5005
0x3d0458f420c651defaa34c6d95a781d8bbf46b713491e878b783d91bea50127a,0x2f478ffd6610eebd07528f9e31521c28a042812b,500
0x97f52017d1e0f7485c83bf62b4bb260c3850f9b13c113905ff14253ec270662a,0x1e3b642831e90f3d5cbb7e3432787c8faae8c671,7608
0xcf49568ace4ec0f837c4e986f64016ab12475fd489128c580b3de547c55b407b,0xe23696614fab51731d1731f5a8e105b22f8d26a6,20
0x12f2ef638d7b6ae0188b34a604b9fab417ec3842ae577ae6f0617537bd804185,0x6751d597f1ee916a6b6d7b7a8eb3c413fa85b8bc,209.447012894
0xf2eaa7dde9f48bf39fd3cb6f870dacf27100a6c6e3f4c8e4e012ba9849666869,0xce07cceba3a376f64da6d22bde463f56f0170864,2000
0x29fc83664bb3a1b640a03c7daf049a5acc044beae9bcde31d5254c95b504347b,0x33dbd7802ce978432223fdf658fad2c6c1f58ab5,3019.6367004795
